scenario,nodes_per_profile,profiles,output_nodes,samples,iterations_per_sample,median_us_per_merge,min_us_per_merge,max_us_per_merge,max_rss_after_validation_bytes
single,10,1,10,5,100,42.15,39.27,48.92,17674240
disjoint,10,2,20,5,100,86.75,84.15,89.07,17694720
overlap,10,2,15,5,100,81.9,80.05,89.89,17170432
detours,10,2,20,5,100,96.15,92.18,104.33,17707008
single,100,1,100,5,100,419.23,414.08,430.9,17756160
disjoint,100,2,200,5,100,826.22,805.82,848.12,24182784
overlap,100,2,150,5,100,817.12,799.03,825.57,24645632
detours,100,2,200,5,100,1004.13,944.8,1011.92,24264704
single,1000,1,1000,5,100,4177.07,4094.79,4262.51,49565696
disjoint,1000,2,2000,5,100,7957.45,7685.16,8721.37,53760000
overlap,1000,2,1500,5,100,8108.52,7896.35,8613.53,54013952
detours,1000,2,2000,5,100,9014.38,8970.01,9109.22,54730752
